Kepler ID KOI Dur(h) Depth(ppm) SNR t0  t0_uncer  Period(days)  e_Period(days)  a/R*  e_a/R*  r/R*  e_r/R*  b e_b Rad(Earth) a(AU)  Teq(K) EBprob  Vet Fop Note  f_KOI 
7199397 75.01 17.414  1275  165 89.969  1.9e-3  105.888500  1.4e-3  47.100  2.300 0.036 1.2e-3  0.010 2.3e-1  4.3 0.449 391 0.0e+0  2     
10187017  82.01 4.139 981 102 67.752  1.4e-3  16.145830 1.2e-4  18.300  6.700 0.034 2.5e-3  0.850 3.8e-1  6.8 0.131 786 5.6e-6  2 1,2,3,4,5   
10187017  82.02 3.278 248 31  67.075  4.4e-3  10.312000 2.6e-4  13.000  30.000  0.018 8.3e-3  0.860 9.2e-1  3.7 0.097 914 8.8e-6  2 1,2,3,4,5   
2571238 84.01 3.419 692 141 68.991  7.3e-4  9.287047  3.0e-5  21.250  0.150 0.023 1.3e-4  0.001 0.0e+0  2.2 0.086 737 4.2e-5  2 1,2,3   
5866724 85.01 4.075 326 117 65.039  1.2e-3  5.859965  3.9e-5  7.700 5.700 0.018 2.2e-3  0.730 6.9e-1  3.2 0.067 1318  2.4e-5  2 1,2,3,4   
5866724 85.02 3.204 99  53  66.501  1.9e-3  2.154880  1.8e-5  4.500 1.300 0.009 1.3e-4  0.277 8.3e-2  1.7 0.035 1823  0.0e+0  4     
5866724 85.03 4.222 103 34  70.992  3.5e-3  8.131190  1.2e-4  7.000 15.000  0.011 3.9e-3  0.880 8.1e-1  2.0 0.084 1177  0.0e+0  4     
10593626  87.01 7.575 481 38  66.699  3.3e-3  289.860500  4.7e-3  311.100 5.000 0.020 3.3e-4  0.020 6.6e-2  2.4 0.877 282 1.2e-5  2 1,2   
8056665 89.01 10.405  372 35  83.587  1.2e-2  84.676300 7.5e-3  56.000  156.000 0.018 1.0e-2  0.500 1.7e+0  4.4 0.427 756 6.2e-5  2 1,2,3   
8056665 89.02 7.424 377 22  222.855 5.0e-3  107.500000  9.7e-3  48.000  14.000  0.022 6.1e-4  0.860 2.6e-1  5.5 0.501 698 5.4e-5  2 1   
7941200 92.01 3.726 703 39  70.451  4.2e-3  65.700800 1.9e-3  56.000  17.000  0.032 7.4e-4  0.890 2.7e-1  4.4 0.330 505 8.0e-6  2 1,2,3   
6462863 94.01 7.005 5674  382 65.742  4.7e-4  22.340940 6.5e-4  24.300  4.000 0.070 2.4e-3  0.390 4.5e-1  12.6  0.165 851 2.2e-5  2 1,2,3   
6462863 94.02 5.343 749 34  71.008  5.1e-3  10.423610 2.2e-4  13.730  0.760 0.022 5.1e-2  0.201 8.1e-2  4.0 0.099 1099  8.8e-5  2 1,3   
6462863 94.03 9.007 1929  53  94.240  4.4e-3  90.532300 1.7e-3  84.700  4.500 0.038 1.6e-3  0.006 7.6e-2  6.9 0.419 534 4.5e-5  2 1,3   
5780885 97.01 5.513 7396  1275  67.276  1.3e-4  4.885491  2.4e-6  7.884 0.008 0.078 7.0e-5  0.000 0.0e+0  11.0  0.059 1226  1.3e-5  1   1 
10264660  98.01 6.856 2299  478 71.087  4.8e-4  6.790119  1.9e-5  8.005 0.000 0.053 9.4e-3  0.000 0.0e+0  12.1  0.077 1528  9.0e-6  2 1,2,3   
8505215 99.01 19.787  1803  72  73.049  1.9e-3  817.000000  1.2e+1  327.400 4.900 0.038 0.0e+0  0.000 0.0e+0  4.6 1.693 177 4.2e-5  3 1 1 x
4055765 100.01  4.516 1506  95  74.151  1.6e-3  9.966512  9.2e-5  7.800 2.300 0.045 5.2e-4  0.880 2.6e-1  13.6  0.101 1493  3.1e-5  3 1,3 1 
8456679 102.01  2.423 933 240 68.060  4.2e-4  1.735134  4.1e-6  4.000 1.800 0.030 2.4e-3  0.760 5.2e-1  6.9 0.030 2175  5.8e-5  2 1,2,3 1 
2444412 103.01  3.430 800 72  74.333  1.5e-3  14.911550 1.3e-4  36.150  0.440 0.026 2.4e-4  0.025 2.7e-2  2.3 0.119 628 4.8e-5  2 1,2,3   
10318874  104.01  1.273 1174  68  67.998  7.0e-4  2.508091  1.3e-5  16.000  11.000  0.035 4.8e-3  0.450 8.6e-1  2.8 0.032 927 8.4e-6  2 1,2,3   
8711794 105.01  2.369 1082  114 69.650  1.4e-3  8.980920  9.6e-5  12.200  3.600 0.039 5.9e-4  0.910 2.7e-1  8.1 0.090 1100  4.4e-5  2 1   
11250587  107.01  4.869 463 91  67.022  1.5e-3  7.257003  6.2e-5  11.608  0.094 0.019 1.4e-4  0.009 1.7e-2  2.1 0.075 943 2.6e-5  2 1   
4914423 108.01  4.521 505 79  75.176  1.6e-3  15.965340 1.6e-4  22.000  28.000  0.021 4.7e-3  0.600 1.1e+0  2.7 0.128 777 3.0e-5  2 1,2,3   
9450647 110.01  3.936 522 98  68.214  1.3e-3  9.940750  7.9e-5  13.000  12.000  0.023 3.4e-3  0.740 7.6e-1  2.9 0.095 985 1.5e-5  2 1   
6678383 111.01  4.572 506 84  70.614  1.5e-3  11.427514 7.4e-5  14.000  14.000  0.022 3.8e-3  0.720 8.2e-1  2.5 0.102 814 2.1e-5  2 1,2,3   
6678383 111.02  5.717 456 65  65.710  2.2e-3  23.668600 2.2e-4  28.000  40.000  0.020 5.2e-3  0.500 1.2e+0  2.3 0.166 638 2.1e-5  2 1   
6678383 111.04  7.570 636 38  359.357 4.7e-3  103.511200  6.6e-3  108.000 2.000 0.023 3.8e-4  0.018 7.1e-2  2.5 0.443 391 0.0e+0  2     
10984090  112.01  6.383 756 67  118.180 1.8e-3  51.079430 6.3e-4  40.000  29.000  0.028 3.3e-3  0.780 6.3e-1  3.7 0.279 539 2.2e-5  3 2,3 1 
10984090  112.02  2.559 118 24  66.984  3.6e-3  3.709209  5.7e-5  6.000 20.000  0.013 7.9e-3  0.900 1.0e+0  1.7 0.048 1300  0.0e+0  4     
2306756 113.01  4.670 1038  21  87.318  4.1e-3  300.000000  0.0e+0  167.000 50.000  0.066 2.1e-2  1.020 3.1e-1  8.3 0.888 269 1.9e-5  2 1,2   x
9579641 115.01  2.901 595 96  66.141  1.1e-3  5.412245  3.2e-5  13.000  19.000  0.023 6.0e-3  0.500 1.2e+0  3.4 0.063 1260  1.6e-5  2 1,2   
9579641 115.02  2.788 192 28  72.008  4.2e-3  7.125750  1.7e-4  11.000  41.000  0.015 8.8e-3  0.900 1.2e+0  2.2 0.076 1147  2.1e-5  2 1   
8395660 116.01  3.549 471 43  69.276  3.0e-3  13.570960 2.3e-4  21.000  42.000  0.023 7.8e-3  0.800 1.1e+0  4.7 0.119 1057  8.1e-5  2 1,2,3   
